date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:30:25	25560/25560	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:25%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257111/list-of-lane-napa-awards-for-2015	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news2fe2.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:26	21835/21835	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:26%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257125/lane-s-bangor-me-office-wins-napa-quality-in-construction-award	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsb10b.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:27	1529767/1529767	---M--	200	added ('OK')	application/pdf	etag:%2257ead9c4-1757a7%22	https://www.laneconstruct.com/uploads/files/Lake%20Mead%20Intake%20No.%203%20Chronicle%20of%20a%20World%20Record.pdf	C:/My%20Web%20Sites/Indigen/uploads/files/Lake%20Mead%20Intake%20No.%203%20Chronicle%20of%20a%20World%20Record.pdf	(from https://www.laneconstruct.com/media/external-news/external-lane-news?id=257088/lake-mead-project-wins-award)
01:30:29	300312/300312	---M--	200	added ('OK')	image/jpeg	etag:%2256dedd1a-49518%22	https://www.laneconstruct.com/uploads/images/LaFleur%20Airport%20Paving.jpg	C:/My%20Web%20Sites/Indigen/uploads/images/LaFleur%20Airport%20Paving.jpg	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:30	22627/22627	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:30%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257129/i-485-i-85-interchange-awards-get-more-press	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsec5b.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:31	21538/21538	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:31%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257154/dbia-announces-2015-project-team-awards	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newse8ed.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:32	24117/24117	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:32%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257157/lane-awards-for-2014	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news2dd7.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:32	337050/337050	---M--	200	added ('OK')	application/pdf	etag:%2256dedd3f-5249a%22	https://www.laneconstruct.com/uploads/files/QIC-AG%203-Lane%20Construction.pdf	C:/My%20Web%20Sites/Indigen/uploads/files/QIC-AG%203-Lane%20Construction.pdf	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:33	32346/32346	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:33%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257158/lane-awards-for-2013	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsc43f.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:33	26919/26919	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:33%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257159/list-of-lane-napa-awards-for-2012	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-news9a75.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:34	25979/25979	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:34%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257160/lane-awards-for-2012	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsc0c2.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:35	26196/26196	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:35%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257161/list-of-lane-napa-awards-for-2011	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsfb49.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257072&/awards)
01:30:36	21816/21816	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2017:30:36%20GMT	https://www.laneconstruct.com/media/external-news/external-lane-news?id=257108/lane-project-manager-appears-on-local-news-to-discuss-route-29-project	C:/My%20Web%20Sites/Indigen/media/external-news/external-lane-newsf7b1.html	(from https://www.laneconstruct.com/media/external-news/external-lane-news?category_id=257073&/news)
